"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jun 14 15:40:10 GMT 2024","Fri Jun 14 15:40:10 GMT 2024","3","","Tests","Example","","","Test With Custom Keyword",""
"passed","Fri Jun 14 15:40:09 GMT 2024","Fri Jun 14 15:40:10 GMT 2024","668","","Tests","Example","","","Test With Browser Library",""
