"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 14 15:42:19 GMT 2024","Fri Jun 14 15:42:19 GMT 2024","2","","Tests","Example","","","Test With Custom Keyword",""
"passed","Fri Jun 14 15:42:18 GMT 2024","Fri Jun 14 15:42:19 GMT 2024","647","","Tests","Example","","","Test With Browser Library",""
